NY New_York Kathy_Hochul Rose 
CA California Gavin_Newsom Poppy 
TX Texas Greg_Abbott Bluebonnet 
FL Florida Ron_DeSantis Orange_Blossom 
AZ Arizona Doug_Ducey Saguaro_Cactus_Blossom 
OH Ohio Mike_DeWine Carnation 
GA Georgia Brian_Kemp Cherokee_Rose 
NC North_Carolina Roy_Cooper Dogwood 
MI Michigan Gretchen_Whitmer Apple_Blossom 
PA Pennsylvania Tom_Wolf Mountain_Laurel
IL Illinois J.B._Pritzker Violet 
WA Washington Jay_Inslee Coast_Rhododendron 
VA Virginia Ralph_Northam Dogwood 
NJ New_Jersey Phil_Murphy Violet 
MA Massachusetts Charlie_Baker Mayflower 
IN Indiana Eric_Holcomb Peony 
CO Colorado Jared_Polis Rocky_Mountain_Columbine 
TN Tennessee Bill_Lee Iris 
NV Nevada Steve_Sisolak Sagebrush
